V_1,V_2,V_3,V_4
240,3000,3.04e-06,2.6e-07
240,3050,3.03e-06,2.6e-07
240,3100,3.03e-06,2.6e-07
240,3150,3.02e-06,2.6e-07
240,3200,3.02e-06,2.6e-07
240,3250,3.02e-06,2.6e-07
240,3300,3.01e-06,2.6e-07
240,3350,3.01e-06,2.6e-07
240,3400,3e-06,2.6e-07
240,3450,3e-06,2.6e-07
240,3500,2.99e-06,2.5e-07
240,3550,2.99e-06,2.5e-07
240,3600,2.98e-06,2.5e-07
240,3650,2.98e-06,2.5e-07
240,3700,2.97e-06,2.5e-07
240,3750,2.97e-06,2.5e-07
240,3800,2.97e-06,2.5e-07
240,3850,2.96e-06,2.5e-07
240,3900,2.96e-06,2.5e-07
240,3950,2.95e-06,2.5e-07
240,4000,2.95e-06,2.5e-07
240,4050,2.94e-06,2.5e-07
240,4100,2.94e-06,2.5e-07
240,4150,2.94e-06,2.5e-07
240,4200,2.93e-06,2.5e-07
240,4250,2.93e-06,2.5e-07
240,4300,2.92e-06,2.5e-07
240,4350,2.92e-06,2.5e-07
240,4400,2.91e-06,2.5e-07
240,4450,2.91e-06,2.5e-07
240,4500,2.91e-06,2.5e-07
240,4550,2.9e-06,2.5e-07
240,4600,2.9e-06,2.5e-07
240,4650,2.89e-06,2.5e-07
240,4700,2.89e-06,2.5e-07
240,4750,2.89e-06,2.5e-07
240,4800,2.88e-06,2.5e-07
240,4850,2.88e-06,2.5e-07
240,4900,2.87e-06,2.5e-07
240,4950,2.87e-06,2.5e-07
240,5000,2.86e-06,2.5e-07
240,5050,2.86e-06,2.5e-07
240,5100,2.86e-06,2.5e-07
240,5150,2.85e-06,2.5e-07
240,5200,2.85e-06,2.5e-07
240,5250,2.84e-06,2.5e-07
240,5300,2.84e-06,2.5e-07
240,5350,2.84e-06,2.5e-07
240,5400,2.83e-06,2.4e-07
240,5450,2.83e-06,2.4e-07
240,5500,2.82e-06,2.4e-07
240,5550,2.82e-06,2.4e-07
240,5600,2.82e-06,2.4e-07
240,5650,2.81e-06,2.4e-07
240,5700,2.81e-06,2.4e-07
240,5750,2.81e-06,2.4e-07
240,5800,2.8e-06,2.4e-07
240,5850,2.8e-06,2.4e-07
240,5900,2.79e-06,2.4e-07
240,5950,2.79e-06,2.4e-07
240,6000,2.79e-06,2.4e-07
240,6050,2.78e-06,2.4e-07
240,6100,2.78e-06,2.4e-07
240,6150,2.77e-06,2.4e-07
240,6200,2.77e-06,2.4e-07
240,6250,2.77e-06,2.4e-07
240,6300,2.76e-06,2.4e-07
240,6350,2.76e-06,2.4e-07
240,6400,2.76e-06,2.4e-07
240,6450,2.75e-06,2.4e-07
240,6500,2.75e-06,2.4e-07
240,6550,2.74e-06,2.4e-07
240,6600,2.74e-06,2.4e-07
240,6650,2.74e-06,2.4e-07
240,6700,2.73e-06,2.4e-07
240,6750,2.73e-06,2.4e-07
240,6800,2.73e-06,2.4e-07
240,6850,2.72e-06,2.4e-07
240,6900,2.72e-06,2.4e-07
240,6950,2.72e-06,2.4e-07
240,7000,2.71e-06,2.4e-07
242,3000,3.19e-06,2.6e-07
242,3050,3.18e-06,2.6e-07
242,3100,3.18e-06,2.6e-07
242,3150,3.17e-06,2.6e-07
242,3200,3.17e-06,2.6e-07
242,3250,3.16e-06,2.6e-07
242,3300,3.16e-06,2.6e-07
242,3350,3.15e-06,2.6e-07
242,3400,3.15e-06,2.6e-07
242,3450,3.14e-06,2.6e-07
242,3500,3.14e-06,2.6e-07
242,3550,3.13e-06,2.6e-07
242,3600,3.13e-06,2.6e-07
242,3650,3.12e-06,2.6e-07
242,3700,3.12e-06,2.6e-07
242,3750,3.11e-06,2.6e-07
242,3800,3.11e-06,2.6e-07
242,3850,3.1e-06,2.6e-07
242,3900,3.1e-06,2.6e-07
242,3950,3.09e-06,2.6e-07
242,4000,3.09e-06,2.6e-07
242,4050,3.08e-06,2.6e-07
242,4100,3.08e-06,2.6e-07
242,4150,3.07e-06,2.6e-07
242,4200,3.07e-06,2.6e-07
242,4250,3.07e-06,2.6e-07
242,4300,3.06e-06,2.5e-07
242,4350,3.06e-06,2.5e-07
242,4400,3.05e-06,2.5e-07
242,4450,3.05e-06,2.5e-07
242,4500,3.04e-06,2.5e-07
242,4550,3.04e-06,2.5e-07
242,4600,3.03e-06,2.5e-07
242,4650,3.03e-06,2.5e-07
242,4700,3.02e-06,2.5e-07
242,4750,3.02e-06,2.5e-07
242,4800,3.01e-06,2.5e-07
242,4850,3.01e-06,2.5e-07
242,4900,3.01e-06,2.5e-07
242,4950,3e-06,2.5e-07
242,5000,3e-06,2.5e-07
242,5050,2.99e-06,2.5e-07
242,5100,2.99e-06,2.5e-07
242,5150,2.98e-06,2.5e-07
242,5200,2.98e-06,2.5e-07
242,5250,2.97e-06,2.5e-07
242,5300,2.97e-06,2.5e-07
242,5350,2.97e-06,2.5e-07
242,5400,2.96e-06,2.5e-07
242,5450,2.96e-06,2.5e-07
242,5500,2.95e-06,2.5e-07
242,5550,2.95e-06,2.5e-07
242,5600,2.94e-06,2.5e-07
242,5650,2.94e-06,2.5e-07
242,5700,2.94e-06,2.5e-07
242,5750,2.93e-06,2.5e-07
242,5800,2.93e-06,2.5e-07
242,5850,2.92e-06,2.5e-07
242,5900,2.92e-06,2.5e-07
242,5950,2.91e-06,2.5e-07
242,6000,2.91e-06,2.5e-07
242,6050,2.91e-06,2.5e-07
242,6100,2.9e-06,2.5e-07
242,6150,2.9e-06,2.5e-07
242,6200,2.89e-06,2.4e-07
242,6250,2.89e-06,2.4e-07
242,6300,2.89e-06,2.4e-07
242,6350,2.88e-06,2.4e-07
242,6400,2.88e-06,2.4e-07
242,6450,2.87e-06,2.4e-07
242,6500,2.87e-06,2.4e-07
242,6550,2.87e-06,2.4e-07
242,6600,2.86e-06,2.4e-07
242,6650,2.86e-06,2.4e-07
242,6700,2.85e-06,2.4e-07
242,6750,2.85e-06,2.4e-07
242,6800,2.85e-06,2.4e-07
242,6850,2.84e-06,2.4e-07
242,6900,2.84e-06,2.4e-07
242,6950,2.83e-06,2.4e-07
242,7000,2.83e-06,2.4e-07
244,3000,3.35e-06,2.7e-07
244,3050,3.34e-06,2.7e-07
244,3100,3.34e-06,2.7e-07
244,3150,3.33e-06,2.7e-07
244,3200,3.33e-06,2.7e-07
244,3250,3.32e-06,2.7e-07
244,3300,3.31e-06,2.7e-07
244,3350,3.31e-06,2.6e-07
244,3400,3.3e-06,2.6e-07
244,3450,3.3e-06,2.6e-07
244,3500,3.29e-06,2.6e-07
244,3550,3.29e-06,2.6e-07
244,3600,3.28e-06,2.6e-07
244,3650,3.28e-06,2.6e-07
244,3700,3.27e-06,2.6e-07
244,3750,3.27e-06,2.6e-07
244,3800,3.26e-06,2.6e-07
244,3850,3.26e-06,2.6e-07
244,3900,3.25e-06,2.6e-07
244,3950,3.24e-06,2.6e-07
244,4000,3.24e-06,2.6e-07
244,4050,3.23e-06,2.6e-07
244,4100,3.23e-06,2.6e-07
244,4150,3.22e-06,2.6e-07
244,4200,3.22e-06,2.6e-07
244,4250,3.21e-06,2.6e-07
244,4300,3.21e-06,2.6e-07
244,4350,3.2e-06,2.6e-07
244,4400,3.2e-06,2.6e-07
244,4450,3.19e-06,2.6e-07
244,4500,3.19e-06,2.6e-07
244,4550,3.18e-06,2.6e-07
244,4600,3.18e-06,2.6e-07
244,4650,3.17e-06,2.6e-07
244,4700,3.17e-06,2.6e-07
244,4750,3.16e-06,2.6e-07
244,4800,3.16e-06,2.6e-07
244,4850,3.15e-06,2.6e-07
244,4900,3.15e-06,2.6e-07
244,4950,3.14e-06,2.6e-07
244,5000,3.14e-06,2.6e-07
244,5050,3.13e-06,2.6e-07
244,5100,3.13e-06,2.5e-07
244,5150,3.12e-06,2.5e-07
244,5200,3.12e-06,2.5e-07
244,5250,3.11e-06,2.5e-07
244,5300,3.11e-06,2.5e-07
244,5350,3.1e-06,2.5e-07
244,5400,3.1e-06,2.5e-07
244,5450,3.1e-06,2.5e-07
244,5500,3.09e-06,2.5e-07
244,5550,3.09e-06,2.5e-07
244,5600,3.08e-06,2.5e-07
244,5650,3.08e-06,2.5e-07
244,5700,3.07e-06,2.5e-07
244,5750,3.07e-06,2.5e-07
244,5800,3.06e-06,2.5e-07
244,5850,3.06e-06,2.5e-07
244,5900,3.05e-06,2.5e-07
244,5950,3.05e-06,2.5e-07
244,6000,3.04e-06,2.5e-07
244,6050,3.04e-06,2.5e-07
244,6100,3.04e-06,2.5e-07
244,6150,3.03e-06,2.5e-07
244,6200,3.03e-06,2.5e-07
244,6250,3.02e-06,2.5e-07
244,6300,3.02e-06,2.5e-07
244,6350,3.01e-06,2.5e-07
244,6400,3.01e-06,2.5e-07
244,6450,3e-06,2.5e-07
244,6500,3e-06,2.5e-07
244,6550,3e-06,2.5e-07
244,6600,2.99e-06,2.5e-07
244,6650,2.99e-06,2.5e-07
244,6700,2.98e-06,2.5e-07
244,6750,2.98e-06,2.5e-07
244,6800,2.97e-06,2.5e-07
244,6850,2.97e-06,2.5e-07
244,6900,2.96e-06,2.5e-07
244,6950,2.96e-06,2.5e-07
244,7000,2.96e-06,2.4e-07
246,3000,3.52e-06,2.7e-07
246,3050,3.52e-06,2.7e-07
246,3100,3.51e-06,2.7e-07
246,3150,3.5e-06,2.7e-07
246,3200,3.5e-06,2.7e-07
246,3250,3.49e-06,2.7e-07
246,3300,3.49e-06,2.7e-07
246,3350,3.48e-06,2.7e-07
246,3400,3.47e-06,2.7e-07
246,3450,3.47e-06,2.7e-07
246,3500,3.46e-06,2.7e-07
246,3550,3.45e-06,2.7e-07
246,3600,3.45e-06,2.7e-07
246,3650,3.44e-06,2.7e-07
246,3700,3.44e-06,2.7e-07
246,3750,3.43e-06,2.7e-07
246,3800,3.43e-06,2.7e-07
246,3850,3.42e-06,2.7e-07
246,3900,3.41e-06,2.7e-07
246,3950,3.41e-06,2.7e-07
246,4000,3.4e-06,2.7e-07
246,4050,3.4e-06,2.7e-07
246,4100,3.39e-06,2.6e-07
246,4150,3.38e-06,2.6e-07
246,4200,3.38e-06,2.6e-07
246,4250,3.37e-06,2.6e-07
246,4300,3.37e-06,2.6e-07
246,4350,3.36e-06,2.6e-07
246,4400,3.36e-06,2.6e-07
246,4450,3.35e-06,2.6e-07
246,4500,3.35e-06,2.6e-07
246,4550,3.34e-06,2.6e-07
246,4600,3.33e-06,2.6e-07
246,4650,3.33e-06,2.6e-07
246,4700,3.32e-06,2.6e-07
246,4750,3.32e-06,2.6e-07
246,4800,3.31e-06,2.6e-07
246,4850,3.31e-06,2.6e-07
246,4900,3.3e-06,2.6e-07
246,4950,3.3e-06,2.6e-07
246,5000,3.29e-06,2.6e-07
246,5050,3.29e-06,2.6e-07
246,5100,3.28e-06,2.6e-07
246,5150,3.27e-06,2.6e-07
246,5200,3.27e-06,2.6e-07
246,5250,3.26e-06,2.6e-07
246,5300,3.26e-06,2.6e-07
246,5350,3.25e-06,2.6e-07
246,5400,3.25e-06,2.6e-07
246,5450,3.24e-06,2.6e-07
246,5500,3.24e-06,2.6e-07
246,5550,3.23e-06,2.6e-07
246,5600,3.23e-06,2.6e-07
246,5650,3.22e-06,2.6e-07
246,5700,3.22e-06,2.6e-07
246,5750,3.21e-06,2.6e-07
246,5800,3.21e-06,2.6e-07
246,5850,3.2e-06,2.6e-07
246,5900,3.2e-06,2.5e-07
246,5950,3.19e-06,2.5e-07
246,6000,3.19e-06,2.5e-07
246,6050,3.18e-06,2.5e-07
246,6100,3.18e-06,2.5e-07
246,6150,3.17e-06,2.5e-07
246,6200,3.17e-06,2.5e-07
246,6250,3.16e-06,2.5e-07
246,6300,3.16e-06,2.5e-07
246,6350,3.15e-06,2.5e-07
246,6400,3.15e-06,2.5e-07
246,6450,3.14e-06,2.5e-07
246,6500,3.14e-06,2.5e-07
246,6550,3.13e-06,2.5e-07
246,6600,3.13e-06,2.5e-07
246,6650,3.12e-06,2.5e-07
246,6700,3.12e-06,2.5e-07
246,6750,3.11e-06,2.5e-07
246,6800,3.11e-06,2.5e-07
246,6850,3.1e-06,2.5e-07
246,6900,3.1e-06,2.5e-07
246,6950,3.1e-06,2.5e-07
246,7000,3.09e-06,2.5e-07
248,3000,3.71e-06,2.8e-07
248,3050,3.7e-06,2.8e-07
248,3100,3.7e-06,2.8e-07
248,3150,3.69e-06,2.8e-07
248,3200,3.68e-06,2.8e-07
248,3250,3.68e-06,2.8e-07
248,3300,3.67e-06,2.7e-07
248,3350,3.66e-06,2.7e-07
248,3400,3.66e-06,2.7e-07
248,3450,3.65e-06,2.7e-07
