V_1,V_2,V_3,V_4
240,3000,0.1426,0.0011
240,3050,0.1427,0.0011
240,3100,0.1427,0.0011
240,3150,0.1428,0.0011
240,3200,0.1428,0.0011
240,3250,0.1429,0.0011
240,3300,0.1429,0.0011
240,3350,0.143,0.0011
240,3400,0.143,0.0011
240,3450,0.1431,0.0011
240,3500,0.1431,0.0011
240,3550,0.1431,0.0011
240,3600,0.1432,0.0011
240,3650,0.1432,0.0011
240,3700,0.1433,0.0011
240,3750,0.1433,0.0011
240,3800,0.1434,0.0011
240,3850,0.1434,0.0011
240,3900,0.1435,0.0011
240,3950,0.1435,0.0011
240,4000,0.1436,0.0011
240,4050,0.1436,0.0011
240,4100,0.1437,0.0011
240,4150,0.1437,0.0011
240,4200,0.1437,0.0011
240,4250,0.1438,0.0011
240,4300,0.1438,0.0011
240,4350,0.1439,0.0011
240,4400,0.1439,0.0011
240,4450,0.144,0.0011
240,4500,0.144,0.0011
240,4550,0.1441,0.0011
240,4600,0.1441,0.0011
240,4650,0.1441,0.0011
240,4700,0.1442,0.0011
240,4750,0.1442,0.0011
240,4800,0.1443,0.0011
240,4850,0.1443,0.0011
240,4900,0.1444,0.0011
240,4950,0.1444,0.0011
240,5000,0.1445,0.0011
240,5050,0.1445,0.0011
240,5100,0.1445,0.0011
240,5150,0.1446,0.0011
240,5200,0.1446,0.0011
240,5250,0.1447,0.0011
240,5300,0.1447,0.0011
240,5350,0.1448,0.0011
240,5400,0.1448,0.0011
240,5450,0.1449,0.0011
240,5500,0.1449,0.0011
240,5550,0.1449,0.0011
240,5600,0.145,0.0011
240,5650,0.145,0.0011
240,5700,0.1451,0.0011
240,5750,0.1451,0.0011
240,5800,0.1452,0.0011
240,5850,0.1452,0.0011
240,5900,0.1453,0.0011
240,5950,0.1453,0.0011
240,6000,0.1453,0.0011
240,6050,0.1454,0.0011
240,6100,0.1454,0.0011
240,6150,0.1455,0.0011
240,6200,0.1455,0.0011
240,6250,0.1456,0.0011
240,6300,0.1456,0.0011
240,6350,0.1456,0.0011
240,6400,0.1457,0.0011
240,6450,0.1457,0.0011
240,6500,0.1458,0.0011
240,6550,0.1458,0.0011
240,6600,0.1459,0.0011
240,6650,0.1459,0.0011
240,6700,0.1459,0.0011
240,6750,0.146,0.0011
240,6800,0.146,0.0011
240,6850,0.1461,0.0011
240,6900,0.1461,0.0011
240,6950,0.1462,0.0011
240,7000,0.1462,0.0011
242,3000,0.1405,0.0011
242,3050,0.1405,0.0011
242,3100,0.1406,0.0011
242,3150,0.1406,0.0011
242,3200,0.1407,0.0011
242,3250,0.1407,0.0011
242,3300,0.1408,0.0011
242,3350,0.1408,0.0011
242,3400,0.1409,0.0011
242,3450,0.1409,0.0011
242,3500,0.141,0.0011
242,3550,0.141,0.0011
242,3600,0.141,0.0011
242,3650,0.1411,0.0011
242,3700,0.1411,0.0011
242,3750,0.1412,0.0011
242,3800,0.1412,0.0011
242,3850,0.1413,0.0011
242,3900,0.1413,0.0011
242,3950,0.1414,0.0011
242,4000,0.1414,0.0011
242,4050,0.1415,0.0011
242,4100,0.1415,0.0011
242,4150,0.1416,0.0011
242,4200,0.1416,0.0011
242,4250,0.1417,0.0011
242,4300,0.1417,0.0011
242,4350,0.1417,0.0011
242,4400,0.1418,0.0011
242,4450,0.1418,0.0011
242,4500,0.1419,0.0011
242,4550,0.1419,0.0011
242,4600,0.142,0.0011
242,4650,0.142,0.0011
242,4700,0.1421,0.0011
242,4750,0.1421,0.0011
242,4800,0.1422,0.0011
242,4850,0.1422,0.0011
242,4900,0.1423,0.001
242,4950,0.1423,0.001
242,5000,0.1423,0.001
242,5050,0.1424,0.001
242,5100,0.1424,0.001
242,5150,0.1425,0.001
242,5200,0.1425,0.001
242,5250,0.1426,0.001
242,5300,0.1426,0.001
242,5350,0.1427,0.001
242,5400,0.1427,0.001
242,5450,0.1428,0.001
242,5500,0.1428,0.001
242,5550,0.1428,0.001
242,5600,0.1429,0.001
242,5650,0.1429,0.001
242,5700,0.143,0.001
242,5750,0.143,0.001
242,5800,0.1431,0.001
242,5850,0.1431,0.001
242,5900,0.1432,0.001
242,5950,0.1432,0.001
242,6000,0.1432,0.001
242,6050,0.1433,0.001
242,6100,0.1433,0.001
242,6150,0.1434,0.001
242,6200,0.1434,0.001
242,6250,0.1435,0.001
242,6300,0.1435,0.001
242,6350,0.1436,0.001
242,6400,0.1436,0.001
242,6450,0.1437,0.001
242,6500,0.1437,0.001
242,6550,0.1437,0.001
242,6600,0.1438,0.001
242,6650,0.1438,0.001
242,6700,0.1439,0.001
242,6750,0.1439,0.001
242,6800,0.144,0.001
242,6850,0.144,0.001
242,6900,0.1441,0.001
242,6950,0.1441,0.001
242,7000,0.1441,0.001
244,3000,0.1383,0.001
244,3050,0.1384,0.001
244,3100,0.1384,0.001
244,3150,0.1385,0.001
244,3200,0.1385,0.001
244,3250,0.1386,0.001
244,3300,0.1386,0.001
244,3350,0.1387,0.001
244,3400,0.1387,0.001
244,3450,0.1388,0.001
244,3500,0.1388,0.001
244,3550,0.1389,0.001
244,3600,0.1389,0.001
244,3650,0.1389,0.001
244,3700,0.139,0.001
244,3750,0.139,0.001
244,3800,0.1391,0.001
244,3850,0.1391,0.001
244,3900,0.1392,0.001
244,3950,0.1392,0.001
244,4000,0.1393,0.001
244,4050,0.1393,0.001
244,4100,0.1394,0.001
244,4150,0.1394,0.001
244,4200,0.1395,0.001
244,4250,0.1395,0.001
244,4300,0.1396,0.001
244,4350,0.1396,0.001
244,4400,0.1397,0.001
244,4450,0.1397,0.001
244,4500,0.1398,0.001
244,4550,0.1398,0.001
244,4600,0.1399,0.001
244,4650,0.1399,0.001
244,4700,0.1399,0.001
244,4750,0.14,0.001
244,4800,0.14,0.001
244,4850,0.1401,0.001
244,4900,0.1401,0.001
244,4950,0.1402,0.001
244,5000,0.1402,0.001
244,5050,0.1403,0.001
244,5100,0.1403,0.001
244,5150,0.1404,0.001
244,5200,0.1404,0.001
244,5250,0.1405,0.001
244,5300,0.1405,0.001
244,5350,0.1406,0.001
244,5400,0.1406,0.001
244,5450,0.1407,0.001
244,5500,0.1407,0.001
244,5550,0.1407,0.001
244,5600,0.1408,0.001
244,5650,0.1408,0.001
244,5700,0.1409,0.001
244,5750,0.1409,0.001
244,5800,0.141,0.001
244,5850,0.141,0.001
244,5900,0.1411,0.001
244,5950,0.1411,0.001
244,6000,0.14116,0.001
244,6050,0.14121,0.001
244,6100,0.14125,0.001
244,6150,0.1413,0.001
244,6200,0.14134,0.001
244,6250,0.14139,0.001
244,6300,0.14143,0.001
244,6350,0.14148,0.001
244,6400,0.14153,0.001
244,6450,0.14157,0.00099
244,6500,0.14162,0.00099
244,6550,0.14166,0.00099
244,6600,0.14171,0.00099
244,6650,0.14175,0.00099
244,6700,0.1418,0.00099
244,6750,0.14184,0.00099
244,6800,0.14189,0.00099
244,6850,0.14193,0.00099
244,6900,0.14198,0.00099
244,6950,0.14202,0.00099
244,7000,0.14207,0.00099
246,3000,0.1361,0.001
246,3050,0.1362,0.001
246,3100,0.1362,0.001
246,3150,0.1363,0.001
246,3200,0.1363,0.001
246,3250,0.1364,0.001
246,3300,0.1364,0.001
246,3350,0.1365,0.001
246,3400,0.13654,0.001
246,3450,0.13659,0.001
246,3500,0.13664,0.001
246,3550,0.13669,0.001
246,3600,0.13674,0.001
246,3650,0.13679,0.001
246,3700,0.13684,0.001
246,3750,0.13689,0.00099
246,3800,0.13694,0.00099
246,3850,0.13699,0.00099
246,3900,0.13704,0.00099
246,3950,0.13709,0.00099
246,4000,0.13714,0.00099
246,4050,0.13719,0.00099
246,4100,0.13724,0.00099
246,4150,0.13729,0.00099
246,4200,0.13734,0.00099
246,4250,0.13739,0.00099
246,4300,0.13743,0.00099
246,4350,0.13748,0.00099
246,4400,0.13753,0.00099
246,4450,0.13758,0.00098
246,4500,0.13763,0.00098
246,4550,0.13768,0.00098
246,4600,0.13773,0.00098
246,4650,0.13778,0.00098
246,4700,0.13782,0.00098
246,4750,0.13787,0.00098
246,4800,0.13792,0.00098
246,4850,0.13797,0.00098
246,4900,0.13802,0.00098
246,4950,0.13807,0.00098
246,5000,0.13811,0.00098
246,5050,0.13816,0.00098
246,5100,0.13821,0.00098
246,5150,0.13826,0.00098
246,5200,0.13831,0.00097
246,5250,0.13835,0.00097
246,5300,0.1384,0.00097
246,5350,0.13845,0.00097
246,5400,0.1385,0.00097
246,5450,0.13855,0.00097
246,5500,0.13859,0.00097
246,5550,0.13864,0.00097
246,5600,0.13869,0.00097
246,5650,0.13874,0.00097
246,5700,0.13878,0.00097
246,5750,0.13883,0.00097
246,5800,0.13888,0.00097
246,5850,0.13892,0.00097
246,5900,0.13897,0.00097
246,5950,0.13902,0.00097
246,6000,0.13907,0.00096
246,6050,0.13911,0.00096
246,6100,0.13916,0.00096
246,6150,0.13921,0.00096
246,6200,0.13925,0.00096
246,6250,0.1393,0.00096
246,6300,0.13935,0.00096
246,6350,0.1394,0.00096
246,6400,0.13944,0.00096
246,6450,0.13949,0.00096
246,6500,0.13954,0.00096
246,6550,0.13958,0.00096
246,6600,0.13963,0.00096
246,6650,0.13968,0.00096
246,6700,0.13972,0.00096
246,6750,0.13977,0.00096
246,6800,0.13981,0.00096
246,6850,0.13986,0.00096
246,6900,0.13991,0.00095
246,6950,0.13995,0.00095
246,7000,0.14,0.00095
248,3000,0.13397,0.00097
248,3050,0.13402,0.00097
248,3100,0.13407,0.00097
248,3150,0.13412,0.00097
248,3200,0.13417,0.00097
248,3250,0.13422,0.00097
248,3300,0.13428,0.00097
248,3350,0.13433,0.00097
248,3400,0.13438,0.00097
248,3450,0.13443,0.00097
248,3500,0.13448,0.00097
248,3550,0.13453,0.00096
248,3600,0.13458,0.00096
248,3650,0.13464,0.00096
248,3700,0.13469,0.00096
248,3750,0.13474,0.00096
248,3800,0.13479,0.00096
248,3850,0.13484,0.00096
248,3900,0.13489,0.00096
248,3950,0.13494,0.00096
248,4000,0.13499,0.00096
248,4050,0.13504,0.00096
248,4100,0.13509,0.00096
248,4150,0.13514,0.00096
248,4200,0.13519,0.00096
248,4250,0.13524,0.00095
248,4300,0.13529,0.00095
248,4350,0.13534,0.00095
248,4400,0.13539,0.00095
248,4450,0.13545,0.00095
248,4500,0.1355,0.00095
248,4550,0.13555,0.00095
248,4600,0.1356,0.00095
248,4650,0.13564,0.00095
248,4700,0.1357,0.00095
248,4750,0.13575,0.00095
248,4800,0.13579,0.00095
248,4850,0.13584,0.00095
248,4900,0.13589,0.00095
248,4950,0.13594,0.00094
248,5000,0.13599,0.00094
248,5050,0.13604,0.00094
248,5100,0.13609,0.00094
248,5150,0.13614,0.00094
248,5200,0.13619,0.00094
248,5250,0.13624,0.00094
248,5300,0.13629,0.00094
248,5350,0.13634,0.00094
248,5400,0.13639,0.00094
248,5450,0.13644,0.00094
248,5500,0.13649,0.00094
248,5550,0.13653,0.00094
248,5600,0.13658,0.00094
248,5650,0.13663,0.00094
248,5700,0.13668,0.00094
248,5750,0.13673,0.00093
248,5800,0.13678,0.00093
248,5850,0.13683,0.00093
248,5900,0.13688,0.00093
248,5950,0.13692,0.00093
248,6000,0.13697,0.00093
248,6050,0.13702,0.00093
248,6100,0.13707,0.00093
248,6150,0.13712,0.00093
248,6200,0.13716,0.00093
248,6250,0.13721,0.00093
248,6300,0.13726,0.00093
248,6350,0.13731,0.00093
248,6400,0.13736,0.00093
248,6450,0.13741,0.00093
248,6500,0.13745,0.00093
248,6550,0.1375,0.00093
248,6600,0.13755,0.00092
248,6650,0.1376,0.00092
248,6700,0.13764,0.00092
248,6750,0.13769,0.00092
248,6800,0.13774,0.00092
248,6850,0.13779,0.00092
248,6900,0.13783,0.00092
248,6950,0.13788,0.00092
248,7000,0.13793,0.00092
250,3000,0.13178,0.00094
250,3050,0.13183,0.00094
250,3100,0.13189,0.00094
250,3150,0.13194,0.00094
250,3200,0.13199,0.00094
250,3250,0.13205,0.00094
250,3300,0.1321,0.00094
250,3350,0.13215,0.00094
250,3400,0.13221,0.00094
250,3450,0.13226,0.00094
250,3500,0.13231,0.00093
250,3550,0.13237,0.00093
250,3600,0.13242,0.00093
250,3650,0.13247,0.00093
250,3700,0.13252,0.00093
250,3750,0.13258,0.00093
250,3800,0.13263,0.00093
250,3850,0.13268,0.00093
250,3900,0.13273,0.00093
250,3950,0.13279,0.00093
250,4000,0.13284,0.00093
250,4050,0.13289,0.00093
250,4100,0.13294,0.00093
250,4150,0.13299,0.00092
250,4200,0.13305,0.00092
250,4250,0.1331,0.00092
250,4300,0.13315,0.00092
250,4350,0.1332,0.00092
250,4400,0.13325,0.00092
250,4450,0.13331,0.00092
250,4500,0.13336,0.00092
250,4550,0.13341,0.00092
250,4600,0.13346,0.00092
250,4650,0.13351,0.00092
250,4700,0.13356,0.00092
250,4750,0.13361,0.00092
250,4800,0.13366,0.00092
250,4850,0.13372,0.00092
250,4900,0.13377,0.00091
250,4950,0.13382,0.00091
250,5000,0.13387,0.00091
250,5050,0.13392,0.00091
250,5100,0.13397,0.00091
250,5150,0.13402,0.00091
250,5200,0.13407,0.00091
250,5250,0.13412,0.00091
250,5300,0.13417,0.00091
250,5350,0.13422,0.00091
250,5400,0.13427,0.00091
