V_1,V_2,V_3,V_4
240,3000,1055.6,9.1
240,3050,1055.8,9.1
240,3100,1056,9.1
240,3150,1056.1,9.1
240,3200,1056.3,9.1
240,3250,1056.4,9.1
240,3300,1056.6,9.1
240,3350,1056.7,9.1
240,3400,1056.9,9.1
240,3450,1057.1,9.1
240,3500,1057.2,9.1
240,3550,1057.4,9.1
240,3600,1057.5,9.1
240,3650,1057.7,9.1
240,3700,1057.9,9.1
240,3750,1058,9.1
240,3800,1058.2,9.1
240,3850,1058.3,9.1
240,3900,1058.5,9.1
240,3950,1058.6,9
240,4000,1058.8,9
240,4050,1059,9
240,4100,1059.1,9
240,4150,1059.3,9
240,4200,1059.4,9
240,4250,1059.6,9
240,4300,1059.7,9
240,4350,1059.9,9
240,4400,1060,9
240,4450,1060.2,9
240,4500,1060.3,9
240,4550,1060.5,9
240,4600,1060.7,9
240,4650,1060.8,9
240,4700,1061,9
240,4750,1061.1,9
240,4800,1061.3,9
240,4850,1061.4,9
240,4900,1061.6,9
240,4950,1061.7,9
240,5000,1061.9,9
240,5050,1062,9
240,5100,1062.2,9
240,5150,1062.3,9
240,5200,1062.5,8.9
240,5250,1062.6,8.9
240,5300,1062.8,8.9
240,5350,1062.9,8.9
240,5400,1063.1,8.9
240,5450,1063.2,8.9
240,5500,1063.4,8.9
240,5550,1063.5,8.9
240,5600,1063.7,8.9
240,5650,1063.8,8.9
240,5700,1064,8.9
240,5750,1064.1,8.9
240,5800,1064.3,8.9
240,5850,1064.4,8.9
240,5900,1064.6,8.9
240,5950,1064.7,8.9
240,6000,1064.9,8.9
240,6050,1065,8.9
240,6100,1065.2,8.9
240,6150,1065.3,8.9
240,6200,1065.5,8.9
240,6250,1065.6,8.9
240,6300,1065.8,8.9
240,6350,1065.9,8.9
240,6400,1066.1,8.9
240,6450,1066.2,8.9
240,6500,1066.4,8.9
240,6550,1066.5,8.9
240,6600,1066.6,8.9
240,6650,1066.8,8.9
240,6700,1066.9,8.8
240,6750,1067.1,8.8
240,6800,1067.2,8.8
240,6850,1067.4,8.8
240,6900,1067.5,8.8
240,6950,1067.7,8.8
240,7000,1067.8,8.8
242,3000,1048.1,8.8
242,3050,1048.2,8.8
242,3100,1048.4,8.8
242,3150,1048.6,8.8
242,3200,1048.7,8.8
242,3250,1048.9,8.8
242,3300,1049.1,8.8
242,3350,1049.2,8.8
242,3400,1049.4,8.8
242,3450,1049.6,8.8
242,3500,1049.7,8.7
242,3550,1049.9,8.7
242,3600,1050.1,8.7
242,3650,1050.2,8.7
242,3700,1050.4,8.7
242,3750,1050.5,8.7
242,3800,1050.7,8.7
242,3850,1050.9,8.7
242,3900,1051,8.7
242,3950,1051.2,8.7
242,4000,1051.4,8.7
242,4050,1051.5,8.7
242,4100,1051.7,8.7
242,4150,1051.8,8.7
242,4200,1052,8.7
242,4250,1052.2,8.7
242,4300,1052.3,8.7
242,4350,1052.5,8.7
242,4400,1052.7,8.7
242,4450,1052.8,8.7
242,4500,1053,8.7
242,4550,1053.1,8.7
242,4600,1053.3,8.7
242,4650,1053.5,8.6
242,4700,1053.6,8.6
242,4750,1053.8,8.6
242,4800,1053.9,8.6
242,4850,1054.1,8.6
242,4900,1054.2,8.6
242,4950,1054.4,8.6
242,5000,1054.6,8.6
242,5050,1054.7,8.6
242,5100,1054.9,8.6
242,5150,1055,8.6
242,5200,1055.2,8.6
242,5250,1055.4,8.6
242,5300,1055.5,8.6
242,5350,1055.7,8.6
242,5400,1055.8,8.6
242,5450,1056,8.6
242,5500,1056.1,8.6
242,5550,1056.3,8.6
242,5600,1056.4,8.6
