V_1,V_2,V_3,V_4
240,3000,0.0001381,1.8e-06
240,3050,0.0001381,1.8e-06
240,3100,0.0001382,1.8e-06
240,3150,0.0001383,1.8e-06
240,3200,0.0001384,1.8e-06
240,3250,0.0001384,1.8e-06
240,3300,0.0001385,1.8e-06
240,3350,0.0001386,1.8e-06
240,3400,0.0001386,1.8e-06
240,3450,0.0001387,1.8e-06
240,3500,0.0001388,1.8e-06
240,3550,0.0001389,1.8e-06
240,3600,0.0001389,1.8e-06
240,3650,0.000139,1.8e-06
240,3700,0.0001391,1.8e-06
240,3750,0.0001391,1.8e-06
240,3800,0.0001392,1.8e-06
240,3850,0.0001393,1.8e-06
240,3900,0.0001394,1.8e-06
240,3950,0.0001394,1.8e-06
240,4000,0.0001395,1.8e-06
240,4050,0.0001396,1.8e-06
240,4100,0.0001396,1.8e-06
240,4150,0.0001397,1.8e-06
240,4200,0.0001398,1.8e-06
240,4250,0.0001398,1.8e-06
240,4300,0.0001399,1.8e-06
240,4350,0.00014,1.8e-06
240,4400,0.0001401,1.8e-06
240,4450,0.0001401,1.8e-06
240,4500,0.0001402,1.8e-06
240,4550,0.0001403,1.8e-06
240,4600,0.0001403,1.8e-06
240,4650,0.0001404,1.8e-06
240,4700,0.0001405,1.8e-06
240,4750,0.0001405,1.8e-06
240,4800,0.0001406,1.8e-06
240,4850,0.0001407,1.8e-06
240,4900,0.0001407,1.8e-06
240,4950,0.0001408,1.8e-06
240,5000,0.0001409,1.8e-06
240,5050,0.000141,1.8e-06
240,5100,0.000141,1.8e-06
240,5150,0.0001411,1.8e-06
240,5200,0.0001412,1.8e-06
240,5250,0.0001412,1.8e-06
240,5300,0.0001413,1.8e-06
240,5350,0.0001414,1.8e-06
240,5400,0.0001414,1.8e-06
240,5450,0.0001415,1.8e-06
240,5500,0.0001416,1.8e-06
240,5550,0.0001416,1.8e-06
240,5600,0.0001417,1.8e-06
240,5650,0.0001418,1.8e-06
240,5700,0.0001419,1.8e-06
240,5750,0.0001419,1.8e-06
240,5800,0.000142,1.8e-06
240,5850,0.0001421,1.8e-06
240,5900,0.0001421,1.8e-06
240,5950,0.0001422,1.8e-06
240,6000,0.0001423,1.8e-06
240,6050,0.0001423,1.8e-06
240,6100,0.0001424,1.8e-06
240,6150,0.0001425,1.8e-06
240,6200,0.0001425,1.8e-06
240,6250,0.0001426,1.8e-06
240,6300,0.0001427,1.8e-06
240,6350,0.0001427,1.8e-06
240,6400,0.0001428,1.8e-06
240,6450,0.0001429,1.8e-06
240,6500,0.000143,1.8e-06
240,6550,0.000143,1.8e-06
240,6600,0.0001431,1.8e-06
240,6650,0.0001432,1.8e-06
240,6700,0.0001432,1.8e-06
240,6750,0.0001433,1.8e-06
240,6800,0.0001434,1.8e-06
240,6850,0.0001434,1.8e-06
240,6900,0.0001435,1.8e-06
